Title,Body,Labels
"Homepage – Search form","Create a form with date, number of people, and age categories. Validation and emit of payload.","feature,frontend,vue"
"Homepage – Read more with query","Navigate to /experience/:id with preserved query params from the form.","routing,frontend"
"Homepage – Book with query","Navigate to /book/:id with preserved query params.","routing,frontend"
"Homepage – Three articles","Show three article teasers with title/lead and accessible headings.","content,frontend"
"Experience – Detail view","Image, short description, handle invalid id.","feature,frontend"
"Experience – Summary of selections","Read query params and show date/people/categories.","routing,frontend"
"Experience – CTA Book","Button that goes to /book/:id and preserves query.","routing,frontend"
"Booking – Prefill from query","Initialize form from URL (date, adults, children, seniors).","feature,frontend"
"Booking – Trip duration","Field for trip length with validation (1–30).","feature,frontend"
"Booking – People & categories","UI for total people and age distribution with rules.","feature,frontend"
"Booking – Prices per category","Optional pricing logic per age category and breakdown.","feature,frontend"
"Booking – URL sync","Update query live on changes, preserve state with back/forward.","routing,frontend"
"Booking – Add to cart","Button that pushes configured booking to Pinia cart.","state,frontend"
"Packages – At least three add‑ons","Show packages on the booking page (ski rental, lift pass, etc.).","feature,frontend"
"Packages – Toggle + pricing","Toggle packages and update total price.","feature,frontend"
"Cart – Store","Pinia state/getters/actions for items/totals/clear.","state,frontend"
"Cart – View & summary","List bookings, packages, and total amount.","feature,frontend"
"Cart – Empty cart","Button/action with confirmation.","feature,frontend"
"Cart – Go to payment","Navigate to confirmation page (no payment).","routing,frontend"
"Data – data.json","Create 5–8 experiences, 1–3 packages/experience, at least three articles.","content,backend"
"Data – Fetch & types","Fetch data.json and type models (TS interfaces).","content,frontend"
"Routing – Setup","Define /, /experience/:id, /book/:id, /cart, optionally /article/:id.","routing,frontend"
"Routing – Guards","Validate id/params and show friendly error/redirect.","routing,frontend"
"Util – Query parser","Composable for parse/serialize with typing and defaults.","routing,frontend"
"Util – Price calculation","Function that calculates total including days/categories/packages.","state,frontend"
"Accessibility – Forms & contrast","ARIA, keyboard navigation, WCAG AA.","a11y,frontend"
"Responsive layout","Mobile/desktop adaptation for all pages.","frontend,design"
